Матрица после преобразования:
|       1	     0.1	       1	     0.3	    -0.8	     0.4	     0.7	    -0.8	     0.9	    -0.6	    -0.8	     0.3	     0.8	      -1	    -0.3	     0.4	     0.1	     0.9	    -0.4	     0.6	|	     0.8|
|      -0	       1	-1.11111	-1.07407	0.641975	 0.91358	-1.14815	0.518519	-0.876543	-0.938272	0.518519	-0.209877	0.962963	-0.864198	 -1.2716	-0.938272	0.135802	0.604938	0.197531	-0.419753	|	 1.33333|
|      -0	      -0	       1	0.800995	-1.03151	-0.610282	 0.79602	-0.636816	0.411277	-1.27197	-0.368159	0.590381	0.0646766	  -1.267	-0.689884	0.474295	-0.729685	 1.71973	0.013267	-0.699834	|	0.0895522|
|      -0	      -0	      -0	       1	-2.35417	 -2.1378	 1.56339	 1.40536	0.0869048	-1.68423	-1.20089	0.443155	-1.22232	 1.34167	-1.55833	-1.30655	 1.15417	  1.5878	-1.68185	0.106845	|	 1.34464|
|       0	       0	       0	       0	       1	0.734751	-0.364156	-0.468773	-0.0665857	0.0596598	0.519441	-0.661118	0.656501	0.416525	0.573998	-0.147023	0.0264885	-0.696841	0.148117	-0.0766707	|	-0.30401|
|       0	       0	       0	       0	      -0	       1	-0.236865	-1.03976	0.0785099	-0.909651	0.700173	0.681656	0.707971	-1.95125	0.190117	0.666846	-1.39552	 1.19737	0.514763	-0.95579	|	0.0913413|
|      -0	      -0	      -0	      -0	      -0	      -0	       1	0.918116	-1.20795	0.573046	-0.407586	-0.77145	-0.404814	 6.30578	 1.07557	-2.60922	 3.24258	-3.31335	-2.77967	 4.22717	|	 1.57394|
|      -0	      -0	      -0	      -0	      -0	      -0	      -0	       1	0.418364	  1.4494	-0.71044	-0.00436152	-0.647502	 1.50609	 1.23278	-0.281955	0.815843	-1.50241	-0.359605	 1.20321	|	-0.227833|
|      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	       1	 1.69146	-0.901794	0.557095	-1.10633	-1.05251	-0.189716	 1.20373	-0.419039	-0.332329	0.133055	-0.640025	|	-1.05623|
|       0	       0	       0	       0	       0	       0	       0	       0	       0	       1	0.132625	0.683711	-0.719003	 1.86785	 1.23667	-0.559747	0.0895029	-1.34636	-0.454288	 1.55565	|	0.188297|
|       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       1	0.0531338	0.716173	-0.570798	  1.3639	0.554637	-0.0152101	-0.0612665	0.923522	0.441847	|	-0.0381449|
|       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	      -0	       1	-0.0988425	-2.69157	0.397737	0.929268	-1.04725	 2.00945	 1.41035	-1.26672	|	-0.0746473|
|      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	       0	      -0	      -0	       1	-6.06126	-1.71714	  3.0978	-1.07215	 2.78673	 1.96005	 -4.4809	|	-1.28035|
|       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       1	 1.25307	0.0660788	0.199578	-0.53774	0.147631	 1.41677	|	-0.0838251|
|      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	       1	0.0182285	-0.176169	0.584555	-0.0974835	0.111387	|	0.071029|
|       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       1	-0.0368521	-0.498687	0.786192	0.743477	|	-0.628544|
|       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       1	-0.394263	0.114589	 1.50119	|	0.428168|
|      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	       0	       1	0.278052	0.543074	|	-0.277775|
|      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	       0	      -0	       1	 0.55977	|	-0.383173|
|      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	      -0	       1	|	0.561743|
